Pit_ID,Pit_Age_Years,pH,Dissolved_Oxygen_mg_L,Turbidity_NTU,TDS_mg_L,Iron_mg_L,Manganese_mg_L
Kolong_01,2,3.82,5.35,36.5,480,5.80,1.25
Kolong_02,4,3.95,5.48,32.1,455,5.20,1.10
Kolong_03,6,4.20,5.72,28.4,430,4.60,0.98
Kolong_04,9,4.55,5.96,24.8,405,4.00,0.86
Kolong_05,12,4.85,6.18,21.5,380,3.45,0.75
Kolong_06,16,5.10,6.35,18.9,355,2.95,0.64
Kolong_07,20,5.35,6.52,16.2,330,2.48,0.55
Kolong_08,25,5.62,6.70,13.8,305,2.05,0.46
Kolong_09,30,5.88,6.88,11.6,285,1.70,0.38
Kolong_10,38,6.12,7.05,9.5,260,1.32,0.30
Kolong_11,45,6.35,7.18,8.1,240,1.05,0.24
Kolong_12,55,6.55,7.30,6.8,225,0.82,0.19
